Q,A,label
그냥 밥먹었지,그러시군요,
그냥 집밥,그러시군요,
밥,그러시군요,
집밥,그러시군요,
집에 있는거,그러시군요,
그냥 아무거나,그러시군요,
아무거나,그러시군요,
그냥 앞에 있는거,그러시군요,
앞에있는거,그러시군요,
설렁탕,맛있는걸 드셨군요!,
추어탕,맛있는걸 드셨군요!,
중식,맛있는걸 드셨군요!,
짜장면,맛있는걸 드셨군요!,
부대찌개,맛있는걸 드셨군요!,
짜장면이랑 탕수육,맛있는걸 드셨군요!,
냉면,맛있는걸 드셨군요!,
냉면 먹었어,맛있는걸 드셨군요!,
짜장면 먹었어,맛있는걸 드셨군요!,
볶음밥 먹었어,맛있는걸 드셨군요!,
부대찌개 먹었어,맛있는걸 드셨군요!,
국밥,맛있는걸 드셨군요!,
국밥 먹었어,맛있는걸 드셨군요!,
중식 먹었어,맛있는걸 드셨군요!,
양식,맛있는걸 드셨군요!,
양식 먹었어,맛있는걸 드셨군요!,
파스타 먹었어,맛있는걸 드셨군요!,
파스타,맛있는걸 드셨군요!,
피자,맛있는걸 드셨군요!,
피자 먹었어,맛있는걸 드셨군요!,
먹었어,맛있는걸 드셨군요!,
치킨 먹었어,맛있는걸 드셨군요!,
치킨,맛있는걸 드셨군요!,
케이크,맛있는걸 드셨군요!,
케이크 먹었어,맛있는걸 드셨군요!,
샌드위치,맛있는걸 드셨군요!,
샌드위치 먹었어,맛있는걸 드셨군요!,
라면,맛있는걸 드셨군요!,
라면 먹었어,맛있는걸 드셨군요!,
콩나물 국밥,맛있는걸 드셨군요!,
콩나물국밥 먹었어,맛있는걸 드셨군요!,
떡볶이,맛있는걸 드셨군요!,
떡볶이 먹었어,맛있는걸 드셨군요!,
분식,맛있는걸 드셨군요!,
분식 먹었어,맛있는걸 드셨군요!,
김밥,맛있는걸 드셨군요!,
김밥 먹었어,맛있는걸 드셨군요!,
그냥 떼웠어,"저런, 그러시군요",
대충 떼웠어,"저런, 그러시군요",
대충 먹었어,"저런, 그러시군요",
아무거나 주워먹었어,"저런, 그러시군요",
맛있는거 먹었어,부럽습니다!,
완전 맛있는거,부럽습니다!,
jmt,부럽습니다!,
존맛탱인거,부럽습니다!,
완전 맛난거,부럽습니다!,
맛난거,부럽습니다!,
맛도리 식당 갔어,부럽습니다!,
맛집 갔어,부럽습니다!,
맛집에서 먹었어,부럽습니다!,
맛난거 먹었지롱,부럽습니다!,
맛있는거 먹었지롱,부럽습니다!,
스시 먹었어,부럽습니다!,
스시,부럽습니다!,
비싼거 먹었어,부럽습니다!,
비싼거,부럽습니다!,
프랑스 음식,부럽습니다!,
과자,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
일식,맛있는걸 드셨군요!,
일식 먹었어,맛있는걸 드셨군요!,
한식,맛있는걸 드셨군요!,
한식 먹었어,맛있는걸 드셨군요!,
김치찌개,맛있는걸 드셨군요!,
김치찌개 먹었어,맛있는걸 드셨군요!,
된장찌개,맛있는걸 드셨군요!,
된장찌개 먹었어,맛있는걸 드셨군요!,
샤브샤브,맛있는걸 드셨군요!,
샤브샤브 먹었어,맛있는걸 드셨군요!,
칼국수,맛있는걸 드셨군요!,
칼국수 먹었어,맛있는걸 드셨군요!,
쭈꾸미,맛있는걸 드셨군요!,
쭈꾸미 먹었어,맛있는걸 드셨군요!,
낙곱새,맛있는걸 드셨군요!,
낙곱새 먹었어,맛있는걸 드셨군요!,
삼겹살,맛있는걸 드셨군요!,
삼겹살 먹었어,맛있는걸 드셨군요!,
시리얼 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
시리얼,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
아직 못먹었어,"저런, 그러시군요",
못했어,"저런, 그러시군요",
못먹었어,"저런, 그러시군요",
배고파,"저런, 그러시군요",
아직 안먹었어,"저런, 그러시군요",
아직이야,"저런, 그러시군요",
안먹었어,"저런, 그러시군요",
초밥,맛있는걸 드셨군요!,
초밥 먹었어,맛있는걸 드셨군요!,
굶었어,"저런, 그러시군요",
다이어트 중이야,"저런, 그러시군요",
다이어트 때문에 안먹었어,"저런, 그러시군요",
닭가슴살,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
닭가슴살 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
삼분 카레,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
카레,맛있는걸 드셨군요!,
카레 먹었어,맛있는걸 드셨군요!,
맛없는거,"저런, 그러시군요",
맛없는거 먹었어,"저런, 그러시군요",
몰라 짜증나,"저런, 그러시군요",
몰라 ,"저런, 그러시군요",
만두 먹었어,맛있는걸 드셨군요!,
만두,맛있는걸 드셨군요!,
샐러드 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
샐러드 ,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
스파게티,맛있는걸 드셨군요!,
스파게티 먹었어,맛있는걸 드셨군요!,
과일,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
과일 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
족발,부럽습니다!,
족발 먹었어,부럽습니다!,
보쌈,부럽습니다!,
보쌈 먹었어,부럽습니다!,
소고기,부럽습니다!,
소고기 먹었어,부럽습니다!,
양꼬치,부럽습니다!,
양꼬치 먹었어,부럽습니다!,
마라탕,부럽습니다!,
마라탕 먹었어,부럽습니다!,
돈까쓰,맛있는걸 드셨군요!,
돈까쓰 먹었어,맛있는걸 드셨군요!,
콩국수,맛있는걸 드셨군요!,
콩국수 먹었어,맛있는걸 드셨군요!,
간장계란밥,맛있는걸 드셨군요!,
간장계란밥 먹었어,맛있는걸 드셨군요!,
타코야끼,맛있는걸 드셨군요!,
타코야끼 먹었어,맛있는걸 드셨군요!,
빵,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
빵 먹었어,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
국수,맛있는걸 드셨군요!,
국수 먹었어,맛있는걸 드셨군요!,
우유,"저런, 그러시군요, 조금 더 든든하게 드시지 그러셨어요",
