이름*,맛,당도*,도수*,색상*,베이스*,레시피*,키워드,설명*,신맛내는거,,신맛내는거 포함 문자열
어스퀘이크(진),쓴맛,쓴맛,37,#c39c3d,gin,"드라이 진, 위스키, 페르노",,강한 향과 배합으로 알코올 도수에 주의.,0,,레몬
아이디얼,상쾌한맛,중간 맛,30,#b2b1c3,gin,"드라이 진, 드라이 베르무트, 포도 주스, 마라스키노",,기호에 따라 맛에 강약을 가미할 수 있는 상쾌한 칵테일.,0,,오렌지
푸른 산호초,상큼한맛,중간 맛,33,#46724a,gin,"드라이 진, 페퍼민트 그린",,멋진 이름의 전설의 칵테일.,0,,라임
아티,쓴맛 ,쓴맛 ,32,#bfad9d,gin,"드라이 진, 드라이 베르무트, 크림 드 바이올렛, 페르노",,색의 아름다움도 즐거움의 하나. 쌉싸름한 칵테일.,0,,
아비에이션,쓴맛 ,쓴맛,28,#bdbbc7,gin,"드라이 진, 레몬 주스, 마라스키노",,얼얼하고 건조한 맛의 쓴 칵테일.,1,,
애피타이저,"단맛, 떫은맛",중간 맛,24,#d1a919,gin,"드라이 진, 듀보네, 오렌지 주스",,이름 그대로 식욕을 돋구어 주는 식전주.,1,,
아베이,쓴맛 ,쓴맛,28,#b6816b,gin,"드라이 진, 오렌지 주스, 오린제 비터",,오렌지 향이 상쾌하게 입안에 퍼진다.,1,,
아마폴라,단맛,단맛,24,#c57527,gin,"탕카레 스페셜 드라이 진, 그랑 마니에 골든 루주, 디타, 플레시 오렌지 주스, 그레나덴 시럽",,쓴맛의 진을 사용한 달콤한 사랑의 칵테일.,1,,
암스테르담,"신맛, 단맛",중간 맛,31,#c7ae3d,gin,"더치 주니퍼, 쿠앵트로, 오렌지 주스, 앙고스트라 비터",,네덜란드의 수도를 이미지화하여 만든 칵테일.,1,,
어라운드 더 월드,신맛,중간 맛,30,#107823,gin,"드라이 진, 그린 페퍼민트, 파인애플 주스",,시원한 느낌의 색채와 상쾌한 신맛의 여름철의 식전주.,1,,
알래스카,깔끔한맛,중간 맛,39,#bbbcb6,gin,"드라이 진, 샤르트뢰즈 옐로",,도수가 높은 향을 배합시킨 깔끔한 맛.,0,,
알렉산더스 시스터,단맛,단맛,25,#96b3cc,gin,"드라이 진, 크림 민트 그린, 플레시 크림",,시원한 페퍼민트 향과 단맛이 여성에게 적합하다.,0,,
앰버 드림,,중간 맛,43,#97571c,gin,"드라이 진, 스위트 베르무트, 샤르트뢰즈 그린, 오렌지 비터",,여러 개의 이름을 가진 아름다운 칵테일.,1,,
위즐리 가든,상쾌한맛,중간 맛,15,#68794c,gin,"비피터 진, 미도리 멜론 리큐르, 샤르트뢰즈 그린, 산토리 칵테일 레몬",,상쾌한 기분으로 만들어 주는 롱 드링크.,1,,
웨스턴 로즈,단맛,중간 맛,28,#c3bca2,gin,"드라이 진, 아프리콧 브랜디, 드라이 베르무트, 레몬 주스",,아프리콧 브랜드의 향과 단맛을 살린 칵테일.,1,,
에이 원,쓴맛 ,쓴맛,35,#b16d3a,gin,"드라이 진, 그랑 마니에, 레몬 주스, 그레나덴 시럽",,알코올을 강하게 느낄 수 있는 쓴맛의 칵테일.,1,도수 다시 적어야함..,
영광의 마티니,새로운맛,중간 맛,30,#dcb566,gin,"탕카레 스페셜 드라이 진, 그랑 마니에 골든 루주, 갈리아노, 플레시 레몬 주스, 모난 로즈 시럽",,21세기에 어울리는 새로운 마티니로의 도전.,1,,
어텀 리브스,쓴맛,중간 맛,27,#eacd82,gin,"드라이 진, 진저 와인, 라임",,진저의 쓴맛이 잘 어우러진 북극의 가을을 연상케 한다.,1,,
엔젤 페이스,단맛,중간 맛,31,#a37439,gin,"드라이 진, 아프리콧 브랜디, 칼바도스",,"단맛과 감칠맛이 마치 ""천사의 얼굴""과 같다.",0,,
오렌지 피즈,"신맛, 단맛",중간 맛,13,#c9a000,gin,"드라이 진, 오렌지 주스, 레몬 주스, 설탕, 소다수",,과일 맛과 향의 피즈 스타일.,1,,
오렌지 블로섬,상큼한맛,중간 맛,27,#b78200,gin,"드라이 진, 플레시 오렌지 주스",,"식전, 식후 언제라도 어울리는 상큼한 맛.",1,,
카지노,쓴맛 ,쓴맛,39,#cbccc7,gin,"드라이 진, 마라스키노, 레몬 주스, 오렌지 비터",,마라스키노 냄새가 나는 보기에도 아름다운 칵테일.,1,,
카페 드 도쿄,쓴맛,중간 맛,28,#907364,gin,"고든 진, 캄파리 비터, 갈리아노, 레몬 주스",,화려하고 씁쓸한 도쿄를 이미지한 칵테일.,1,,
카페 드 파리,부드러운맛,중간 맛,27,#9199c0,gin,"드라이 진, 아나세트, 플레시 크림, 계란 흰자",,데코레이션으로서의 거품이 맛을 부드럽게 한다.,0,,
카린,단맛,중간 맛,34,#c87827,gin,"드라이 진, 듀보네, 크림 드 만다린",,아련하게 단맛이 센 마시기 쉬운 여성 취향의 칵테일.,0,,
카루소,상쾌한맛,중간 맛,29,#20552d,gin,"드라이 진, 드라이 베르무트, 크림 드 민트 그린",,맑은 민트 그린의 멋있는 중간 맛의 칵테일.,0,,
키스 인 더 다크,단맛,중간 맛,33,#9a3f3a,gin,"드라이 진, 체리 브랜디, 드라이 베르무트",,"어둠 속의 키스란 이름대로, 달콤하고 자극적인 맛의 칵테일.",0,,
깁슨,쓴맛 ,쓴맛,36,#9f9b9e,gin,"드라이 진, 드라이 베르무트",,마타니에 펄어니언을 담근다.,0,,
김렛,,중간 맛,30,#c3a841,gin,"드라이 진, 라임 주소",,군의 김렛 씨가 장교의 건강을 고려하여 만든 칵테일.,1,,
그린 드래건,단맛,단맛,33,#306818,gin,"드라이 진, 크림 드 민트 그린, 큔멜, 레몬 주스",,진한 녹색이 아름답다. 단맛을 살린 칵테일.,1,,
교카,,중간 맛,22,#89181b,gin,"탕카레 드라이 진, 보졸레 빌라주, 벚꽃 리큐르, 플레시 그레이프 프루트 주스",,교토의 화려함과 교토의 꽃인 벚꽃을 이미지화.,0,,
그린 알래스카,쓴맛 ,쓴맛,43,#89181b,gin,"드라이 진, 샤르트뢰즈 그린",,술맛은 상쾌하지만 알코올 도수가 높은 상급자 대상의 칵테일.,0,,
크로스 보,단맛,중간 맛,30,#833421,gin,"드라이 진, 크림 드 카카오(마롱), 쿠앵트로",,쿠앵트로의 단맛이 남는 맛있는 칵테일.,0,,
